date,type
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,กลิ่น
2022-09-02,ขยะ
2022-09-02,ชำรุด
2022-09-02,ถนน
2022-09-02,สะพาน
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,เสียง
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ถนน
2022-09-02,ชำรุด
2022-09-02,ขยะ
2022-09-02,ถนน
2022-09-02,จราจร
2022-09-03,จราจร
2022-09-03,ถนน
2022-09-03,น้ำท่วม
2022-09-03,ขยะ
2022-09-03,น้ำท่วม
2022-09-03,ชำรุด
2022-09-03,น้ำท่วม
2022-09-03,น้ำท่วม
2022-09-03,ร้องเรียน
2022-09-03,น้ำท่วม
2022-09-03,สะพาน
2022-09-03,ถนน
2022-09-03,ชำรุด
2022-09-03,น้ำท่วม
2022-09-03,ต้นไม้
2022-09-03,น้ำท่วม
2022-09-03,ถนน
2022-09-03,ท่อระบายน้ำ
2022-09-03,น้ำท่วม
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,น้ำท่วม
2022-09-03,น้ำท่วม
2022-09-03,ท่อระบายน้ำ
2022-09-03,น้ำท่วม
2022-09-03,ถนน
2022-09-03,น้ำท่วม
2022-09-03,น้ำท่วม
2022-09-03,ถนน
2022-09-03,สะพาน
2022-09-03,ถนน
2022-09-03,จราจร
2022-09-03,ถนน
2022-09-03,ต้นไม้
2022-09-03,เสียง
2022-09-03,ป้าย
2022-09-03,กีดขวาง
2022-09-03,ขยะ
2022-09-03,กีดขวาง
2022-09-03,ต้นไม้
2022-09-03,เสียง
2022-09-03,กลิ่น
2022-09-03,ถนน
2022-09-03,เสียง
2022-09-03,ถนน
2022-09-03,เสียง
2022-09-03,ถนน
2022-09-03,เสียง
2022-09-03,เสียง
2022-09-03,เสียง
2022-09-03,เสียง
2022-09-03,จราจร
2022-09-03,กลิ่น
2022-09-03,ป้าย
2022-09-03,ถนน
2022-09-03,จราจร
2022-09-03,ป้าย
2022-09-03,ถนน
2022-09-03,ชำรุด
2022-09-03,เสียง
2022-09-03,ต้นไม้
2022-09-03,ถนน
2022-09-03,ขยะ
2022-09-03,ถนน
2022-09-03,กลิ่น
2022-09-03,ขยะ
2022-09-03,กีดขวาง
2022-09-03,เสียง
2022-09-03,สะพาน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ทางเดิน
2022-09-03,เสียง
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,กีดขวาง
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ชำรุด
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ขยะ
2022-09-03,ป้าย
2022-09-03,ถนน
2022-09-03,ขยะ
2022-09-03,ร้องเรียน
2022-09-03,ขยะ
2022-09-03,ถนน
2022-09-03,ทางเดิน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ชำรุด
2022-09-03,ทางเดิน
2022-09-03,สะพาน
2022-09-03,ทางเดิน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,สะพาน
2022-09-03,ทางเดิน
2022-09-03,ถนน
2022-09-03,เสียง
2022-09-03,ขยะ
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ชำรุด
2022-09-03,ทางเดิน
2022-09-03,ป้าย
2022-09-03,น้ำท่วม
2022-09-03,กีดขวาง
2022-09-03,ถนน
2022-09-03,ร้องเรียน
2022-09-03,ชำรุด
2022-09-03,ทางเดิน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ท่อระบายน้ำ
2022-09-03,ทางเดิน
2022-09-03,ถนน
2022-09-03,สะพาน
2022-09-03,เสียง
2022-09-03,ถนน
2022-09-03,จราจร
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ท่อระบายน้ำ
2022-09-03,สะพาน
2022-09-03,ขยะ
2022-09-03,ร้องเรียน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,เสียง
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,เสียง
2022-09-03,ชำรุด
2022-09-03,ชำรุด
2022-09-03,ขยะ
2022-09-03,ชำรุด
2022-09-03,ขยะ
2022-09-03,ขยะ
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ขยะ
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ขยะ
2022-09-03,ถนน
2022-09-03,เสียง
2022-09-03,ถนน
2022-09-03,ต้นไม้
2022-09-03,ถนน
2022-09-03,ร้องเรียน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ชำรุด
2022-09-03,ชำรุด
2022-09-03,ถนน
2022-09-03,จราจร
2022-09-03,ถนน
2022-09-03,ขยะ
2022-09-03,จราจร
2022-09-03,จราจร
2022-09-03,ขยะ
2022-09-03,จราจร
2022-09-03,ถนน
2022-09-03,จราจร
2022-09-03,เสียง
2022-09-03,ถนน
2022-09-03,จราจร
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ชำรุด
2022-09-03,จราจร
2022-09-03,ถนน
2022-09-03,จราจร
2022-09-03,จราจร
2022-09-03,ถนน
2022-09-03,ทางเดิน
2022-09-03,ทางเดิน
2022-09-03,ถนน
2022-09-03,น้ำท่วม
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ชำรุด
2022-09-03,ชำรุด
2022-09-03,ถนน
2022-09-03,ทางเดิน
2022-09-03,สะพาน
2022-09-03,ถนน
2022-09-03,ชำรุด
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,เสียง
2022-09-03,ขยะ
2022-09-03,เสียง
2022-09-03,ขยะ
2022-09-03,ถนน
2022-09-03,ขยะ
2022-09-03,กลิ่น
2022-09-03,ถนน
2022-09-03,น้ำท่วม
2022-09-03,ชำรุด
2022-09-03,จราจร
2022-09-03,ถนน
2022-09-03,จราจร
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,เสียง
2022-09-03,ถนน
2022-09-03,ร้องเรียน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ท่อระบายน้ำ
2022-09-03,ชำรุด
2022-09-03,ขยะ
2022-09-03,จราจร
2022-09-03,ร้องเรียน
2022-09-03,ชำรุด
2022-09-03,เสียง
2022-09-03,ชำรุด
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ขยะ
2022-09-03,ชำรุด
2022-09-03,ทางเดิน
2022-09-03,ต้นไม้
2022-09-03,ถนน
2022-09-03,ทางเดิน
2022-09-03,น้ำท่วม
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ขยะ
2022-09-03,จราจร
2022-09-03,ต้นไม้
2022-09-03,ถนน
2022-09-03,ต้นไม้
2022-09-03,จราจร
2022-09-03,ขยะ
2022-09-03,ถนน
2022-09-03,สะพาน
2022-09-03,เสียง
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,จราจร
2022-09-03,กลิ่น
2022-09-03,ถนน
2022-09-03,ขยะ
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,จราจร
2022-09-03,กีดขวาง
2022-09-03,ถนน
2022-09-03,ชำรุด
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ชำรุด
2022-09-03,ชำรุด
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ถนน
2022-09-03,ต้นไม้
2022-09-03,จราจร
